Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0996193050981021,0.00592517197689364,-0.154373609130204,0,0,0,0.0990434861838764,4.18986707174003E-05,-7.74522004443481E-08,1.75193408567124E-06,5.34736457675077E-05,-7.43201291939381E-08,2.21953924131307E-05,0,0,0,0,0,0,package://leap_hand/meshes/base_link.STL,0.917647058823529,0.917647058823529,0.917647058823529,1,0,0,0,0,0,0,package://leap_hand/meshes/base_link.STL,,"leap_hand_upper_no_holes-1;leap_hand_lower-1;fpx330-s102-9;XL,XC-330-22;XL,XC-330-1;fpx330-s101-1;XL,XC-330-12;fpx330-s101-8;XL,XC-330-16;fpx330-s101-11",Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_link1,0.0133114633496435,0.00700830847006986,-0.000226503193050426,0,0,0,0.0176125746347653,1.92628913246185E-06,-4.14397912861797E-10,1.91264651891331E-10,8.0739489006459E-07,5.31856360076369E-10,2.03990805287427E-06,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link1.STL,,"fpx330-s101-16;XL,XC-330-23",thump_coor1,thump_axis1,thumb_joint1,continuous,0.1366,0.184,0.020289,1.5708,0,0,base_link,-1,-0.00086104,0.0009169,,,,,,,,,,,,
thumb_link2,-6.33236665245618E-06,-1.79259291878779E-05,-0.0069231381129278,0,0,0,0.00252675252817489,5.77184278838044E-07,3.1406968210666E-10,-3.70469128858908E-11,2.13323110453705E-07,8.39278554307893E-10,5.37568066362637E-07,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link2.STL,,fpx330-h101-17,thump_coor2,thump_axis2,thumb_joint2,fixed,0.014437,-2.5102E-05,-0.014513,0,0,0,thumb_link1,0,0,0,,,,,,,,,,,,
thumb_link3,-2.88222466368615E-06,-0.0135545260258114,-0.0118841793744177,0,0,0,0.0195998914358955,2.27965792646658E-06,2.14516453978394E-10,-2.2280038310885E-09,2.11895356352547E-06,-4.65485450478111E-09,1.34904501384779E-06,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link3.STL,,"fpx330-s102-8;XL,XC-330-25;cable_spacer-5;fpx330-h101-18",thump_coor3,thump_axis3,thumb_joint3,continuous,-2.7378E-05,0.013656,-0.017035,0,0,0,thumb_link2,0.00086341,-1,0.0025885,,,,,,,,,,,,
thumb_link4,-1.1537534899686E-07,-0.0135190083350016,-0.00824298220869457,0,0,0,0.0170731389077205,1.7024736476285E-06,-9.9553228125924E-11,-2.19095691822339E-09,1.90563045307175E-06,-5.4941330591124E-09,8.1147694748513E-07,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/thumb_link4.STL,,"XL,XC-330-26;fpx330-s102-12;cable_spacer-8;finger_tip-5",thump_coor4,thump_axis4,thumb_joint4,continuous,-4.2623E-05,-0.00012066,-0.0466,0,0,0,thumb_link3,0.00086341,-1,0.0025885,,,,,,,,,,,,
finger1_link1,-0.0394387380985144,-0.0229087071125226,0.0135036565457959,0,0,0,0.0195998914331633,1.34902294978592E-06,-2.69690338682287E-09,1.37852218629389E-09,2.48283598336893E-06,-8.39368424195255E-11,1.91579756960943E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link1.STL,,"fpx330-h101-12;fpx330-s102-7;XL,XC-330-15;mcp_bracket-5;cable_spacer-4",finger1_coor1,finger1_axis1,finger1_joint1,continuous,0.075595,0.2075,0.017418,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
finger1_link2,-0.00800392548061393,0.0398674337851503,0.000196179510876554,0,0,0,0.0176125746116603,8.07402035405554E-07,-1.41502939497048E-09,2.65990310011871E-09,1.92628724134761E-06,-8.38867590099797E-11,2.03990279496714E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link2.STL,,"XL,XC-330-14;fpx330-s101-12",finger1_coor2,finger1_axis2,finger1_joint2,continuous,-0.038099,-0.040001,0.0135,0,0,0,finger1_link1,3.2631E-05,-1,0,,,,,,,,,,,,
finger1_link3,-0.0321298039507474,-0.00433144166588236,0.0136715670652066,0,0,0,0.0201393271274252,2.46064357711029E-06,-5.88243570675977E-08,-2.32427361811123E-10,1.38780048695326E-06,-2.65104903012932E-09,2.25322346153432E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link3.STL,,"fpx330-h101-13;dip_spacer-4;fpx330-s101-10;XL,XC-330-13",finger1_coor3,finger1_axis3,finger1_joint3,continuous,-0.015001,0.041,-0.0135,0,0,0,finger1_link2,0,0,1,,,,,,,,,,,,
finger1_link4,-0.00870242858210071,0.00508038985323861,0.0134999998744038,0,0,0,0.00252675205502138,5.47639482968273E-07,1.72481274377998E-08,-7.32653439564937E-16,5.67115297546583E-07,-8.56892399708927E-15,2.1332066311906E-07,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger1_link4.STL,,fpx330-h101-11;finger_tip-4,finger1_coor4,finger1_axis4,finger1_joint4,continuous,-0.036044,0.0020166,0,0,0,0,finger1_link3,0,0,1,,,,,,,,,,,,
finger2_link1,-0.0416234016777933,-0.0187032271603118,0.0134258481845802,0,0,0,0.0195998924869962,1.36092605278817E-06,1.15584913096375E-07,1.84368894187196E-09,2.47092528847474E-06,2.08488260570643E-09,1.91580533076121E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link1.STL,,"fpx330-h101-9;mcp_bracket-4;cable_spacer-3;XL,XC-330-11;fpx330-s102-6",finger2_coor1,finger2_axis1,finger2_joint1,continuous,0.075595,0.16201,0.017474,1.5708,0,0,base_link,0,-0.0041664,0.99999,,,,,,,,,,,,
finger2_link2,-0.00377955594188661,0.0404857434098742,0.000364861958321056,0,0,0,0.0176125746837919,8.19408291640183E-07,1.152766838578E-07,3.11675943863803E-09,1.91428618368488E-06,-8.85697041792872E-10,2.03989759616672E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link2.STL,,"XL,XC-330-10;fpx330-s101-9",finger2_coor2,finger2_axis2,finger2_joint2,continuous,-0.042083,-0.035842,0.013351,0,0,0,finger2_link1,-0.10482,-0.99448,-0.0041434,,,,,,,,,,,,
finger2_link3,-0.0324187703457508,-0.000387154684436512,0.0136700726632671,0,0,0,0.0201393271334377,2.4298612768807E-06,-1.88509520946712E-07,-1.34347245302194E-09,1.41861895541418E-06,-6.07936428653605E-09,2.25318729256213E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link3.STL,,"fpx330-h101-10;dip_spacer-3;fpx330-s101-7;XL,XC-330-9",finger2_coor3,finger2_axis3,finger2_joint3,continuous,-0.01062,0.042402,-0.013323,0,0,0,finger2_link2,0,-0.0041664,0.99999,,,,,,,,,,,,
finger2_link4,-0.00885480511020863,0.00475360287478428,0.013519922598583,0,0,0,0.00252675207327764,5.46595775815752E-07,1.66155569084371E-08,6.9225937069142E-11,5.68152845534003E-07,1.47837260458674E-09,2.1332682275769E-07,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger2_link4.STL,,fpx330-h101-8;finger_tip-3,finger2_coor4,finger2_axis4,finger2_joint4,continuous,-0.035519,0.0064525,2.6884E-05,0,0,0,finger2_link3,0,-0.0041664,0.99999,,,,,,,,,,,,
finger3_link1,-0.043819920722891,-0.0145917097897109,0.0135038968359286,0,0,0,0.0183913819764648,1.23569779093903E-06,2.29327818865217E-07,1.337244134227E-09,2.38733285832152E-06,-3.4501650929064E-10,1.80563801646572E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link1.STL,,"fpx330-h101-1;mcp_bracket-1;cable_spacer-1;XL,XC-330-2",finger3_coor1,finger3_axis1,finger3_joint1,continuous,0.075595,0.1166,0.017418,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
finger3_link2,-0.000262127733967814,0.0406621001657817,0.000196179514648259,0,0,0,0.0176125747809639,8.47482286502518E-07,2.07944168636102E-07,2.59520553846506E-09,1.88620698769114E-06,-5.89092752203904E-10,2.03990279563861E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link2.STL,,"fpx330-s101-2;XL,XC-330-3",finger3_coor2,finger3_axis2,finger3_joint2,continuous,-0.045022,-0.03201,0.0135,0,0,0,finger3_link1,-0.19048,-0.98169,0,,,,,,,,,,,,
finger3_link3,-0.0323547544627189,-0.00206290239754348,-0.0135284328437601,0,0,0,0.0201393271177886,2.44709868675364E-06,-1.33448049830829E-07,-4.18148506376518E-10,1.40134537528153E-06,-2.62816204099161E-09,2.25322346121494E-06,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link3.STL,,"fpx330-h101-2;fpx330-s101-3;dip_spacer-1;XL,XC-330-4",finger3_coor3,finger3_axis3,finger3_joint3,continuous,-0.0069157,0.043107,0.0137,0,0,0,finger3_link2,0,0,-1,,,,,,,,,,,,
finger3_link4,-0.00982186106779558,0.00225247993218069,-0.0137000000208089,0,0,0,0.0025267522995514,5.39549571020385E-07,8.6309622027486E-09,-1.8396832481338E-15,5.75205213835565E-07,-8.73431004417146E-15,2.13320665074757E-07,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://leap_hand/meshes/finger3_link4.STL,,fpx330-h101-4;finger_tip-1,finger3_coor4,finger3_axis4,finger3_joint4,continuous,-0.035813,0.0045444,0,0,0,0,finger3_link3,0,0,-1,,,,,,,,,,,,
